date,close,volume
2018-04-25,30.14,65893478
2018-04-26,30.07,45936713
2018-04-27,30.15,47411234
2018-04-30,29.92,55153947
2018-05-01,29.95,52871713
2018-05-02,29.58,68234557
2018-05-03,29.2,110672740
2018-05-04,29.3,58281856
2018-05-07,29.64,46765219
2018-05-08,29.93,65119831
2018-05-09,30.72,72266529
2018-05-10,30.89,54773215
2018-05-11,30.92,42024768
2018-05-14,31.12,41791621
2018-05-15,31.22,64433546
2018-05-16,31.06,43590053
2018-05-17,30.81,45981500
2018-05-18,30.26,58641738
2018-05-21,30.55,34983266
2018-05-22,30.89,61103045
2018-05-23,30.44,73893110
2018-05-24,30.21,62146183
2018-05-25,30.16,44166742
2018-05-29,28.96,135895025
2018-05-30,29.49,79435291
2018-05-31,29.04,97509300
2018-06-01,29.4,64796588
2018-06-04,29.4,43777001
2018-06-05,29.12,47690803
2018-06-06,30.04,74995766
2018-06-07,30.09,68402664
2018-06-08,30.01,49572935
2018-06-11,30.06,46732804
2018-06-12,29.9,49644578
2018-06-13,29.84,68900241
2018-06-14,29.5,77863246
2018-06-15,29.28,105079500
2018-06-18,29.4,52644116
2018-06-19,29.26,65466248
2018-06-20,29.24,52256491
2018-06-21,29.29,68322596
2018-06-22,28.99,77348906
2018-06-25,28.48,73616371
2018-06-26,28.54,56369344
2018-06-27,28.24,61764440
2018-06-28,28.67,71292115
2018-06-29,28.19,102438345
2018-07-02,28.28,52534348
2018-07-03,27.78,40599019
2018-07-05,27.92,44506827
2018-07-06,28.03,40275279
2018-07-09,29.05,61758903
2018-07-10,28.83,58858393
2018-07-11,28.68,50218921
2018-07-12,28.77,51700696
2018-07-13,28.55,75240878
2018-07-16,29.78,129171967
2018-07-17,30.01,87778861
2018-07-18,30.13,59109223
2018-07-19,29.67,59260578
2018-07-20,30.13,82019603
2018-07-23,30.75,74080229
2018-07-24,30.83,64761475
2018-07-25,31.07,57554743
2018-07-26,30.94,46215034
2018-07-27,31.06,57215299
2018-07-30,31.31,58721006
2018-07-31,30.88,64066047
2018-08-01,31.25,69070663
2018-08-02,31.28,46427161
2018-08-03,31.51,50153768
2018-08-06,31.52,41261494
2018-08-07,31.51,43946164
2018-08-08,31.8,43689582
2018-08-09,31.6,38219057
2018-08-10,31.19,55679849
2018-08-13,30.48,63960630
2018-08-14,30.79,42521241
2018-08-15,30.36,59747876
2018-08-16,30.72,44015361
2018-08-17,30.74,39843538
2018-08-20,30.87,40011041
2018-08-21,31.02,53510571
2018-08-22,30.98,33062884
2018-08-23,30.84,38259064
2018-08-24,30.89,43585013
2018-08-27,31.31,47729273
2018-08-28,31.27,38538983
2018-08-29,31.14,46401765
2018-08-30,31.01,47358915
2018-08-31,30.93,49265952
2018-09-04,31.14,44745551
2018-09-05,31.18,48516722
2018-09-06,30.85,42666015
2018-09-07,30.86,49103817
2018-09-10,30.82,34156191
2018-09-11,30.85,53071044
2018-09-12,30.43,59482315
2018-09-13,30.14,59219530
2018-09-14,30.37,33743874
2018-09-17,30.28,35026584
2018-09-18,30.21,49921737
2018-09-19,31.0,92666317
2018-09-20,31.19,83357431
2018-09-21,31.03,85992133
2018-09-24,30.74,45587684
2018-09-25,30.67,40949876
2018-09-26,30.13,57882434
2018-09-27,29.94,45879701
2018-09-28,29.46,74707597
2018-10-01,29.65,53900922
2018-10-02,29.58,42940345
2018-10-03,30.0,61080338
2018-10-04,30.43,72325733
2018-10-05,30.23,51930971
2018-10-08,30.27,47471601
2018-10-09,29.98,58868611
2018-10-10,29.24,88454393
2018-10-11,28.36,111417275
2018-10-12,28.46,102279154
2018-10-15,27.92,114636134
2018-10-16,28.53,87887771
2018-10-17,28.9,79068716
2018-10-18,28.25,77369189
2018-10-19,28.32,64305353
2018-10-22,27.38,89942875
2018-10-23,27.02,102392522
2018-10-24,26.19,86386606
2018-10-25,26.59,73780443
2018-10-26,26.39,91103496
2018-10-29,26.61,89366976
