date,close,volume
2018-09-12,6.6,66848996
2018-09-13,11.6,158346488
2018-09-14,9.9,172473559
2018-09-17,8.5,56323875
2018-09-18,7.68,41827593
2018-09-19,8.5,48306520
2018-09-20,8.78,40275036
2018-09-21,8.59,15118471
2018-09-24,7.87,16297902
2018-09-25,7.58,18909287
2018-09-26,7.5,11088293
2018-09-27,7.01,16815631
2018-09-28,6.98,21813582
2018-10-01,6.6,16429120
2018-10-02,5.93,19439988
2018-10-03,6.3,13251168
2018-10-04,6.25,11896599
2018-10-05,6.26,8378259
2018-10-08,6.04,11508763
2018-10-09,7.39,38464354
2018-10-10,7.75,74971137
2018-10-11,7.18,22730045
2018-10-12,7.46,14545424
2018-10-15,7.82,26781651
2018-10-16,8.04,17490452
2018-10-17,7.77,11705259
2018-10-18,7.5,11905956
2018-10-19,7.32,7336209
2018-10-22,7.03,12758537
2018-10-23,6.81,14901741
2018-10-24,6.17,14789857
2018-10-25,6.45,9188691
2018-10-26,6.35,9458953
2018-10-29,6.19,16027640
2018-10-30,5.95,21823905
2018-10-31,5.9,15213393
2018-11-01,6.62,24330932
2018-11-02,6.49,17988834
2018-11-05,6.68,13188661
2018-11-06,6.4,49855770
2018-11-07,6.74,23761772
2018-11-08,6.69,20510714
2018-11-09,6.77,12789789
2018-11-12,6.65,12709127
2018-11-13,6.78,15374076
2018-11-14,7.1,29585149
2018-11-15,7.34,18036362
2018-11-16,7.19,14972458
2018-11-19,7.84,49171758
2018-11-20,7.67,26923192
2018-11-21,7.71,13993640
2018-11-23,7.46,8119651
2018-11-26,7.37,12164902
2018-11-27,7.48,9084856
2018-11-28,8.12,22096929
2018-11-29,7.79,13207636
2018-11-30,7.71,10994730
2018-12-03,7.58,22336440
2018-12-04,7.08,19624735
2018-12-06,7.37,16688145
2018-12-07,6.99,11576166
2018-12-10,7.03,9980958
2018-12-11,7.08,8095733
2018-12-12,7.54,16007523
2018-12-13,7.75,14980941
2018-12-14,7.7,10773624
2018-12-17,7.03,18132776
2018-12-18,7.07,10685752
2018-12-19,6.83,9299725
2018-12-20,6.52,12080014
2018-12-21,6.07,13598339
2018-12-24,5.92,8835827
2018-12-26,6.36,9912348
2018-12-27,6.43,8531875
2018-12-28,6.47,7996498
2018-12-31,6.37,8667438
2019-01-02,6.2,8823588
2019-01-03,6.05,7562892
2019-01-04,6.36,9405574
2019-01-07,6.5,9709046
2019-01-08,6.4,9603777
2019-01-09,6.63,11489874
2019-01-10,6.66,11221122
2019-01-11,6.59,6902293
2019-01-14,6.8,19454079
2019-01-15,6.82,12632982
2019-01-16,6.71,6941150
2019-01-17,6.81,8508909
2019-01-18,6.71,9240851
2019-01-22,6.57,6379619
2019-01-23,6.55,5685964
2019-01-24,6.58,5919985
2019-01-25,6.65,6726949
2019-01-28,6.67,5111018
2019-01-29,6.94,14200087
2019-01-30,7.46,28775026
2019-01-31,7.88,21233857
2019-02-01,7.9,20788847
2019-02-04,7.85,8585348
2019-02-05,7.88,9029887
2019-02-06,8.4,33404746
2019-02-07,8.04,23198212
2019-02-08,7.67,21709346
2019-02-11,7.46,9750733
2019-02-12,7.44,13264105
2019-02-13,7.49,10867810
2019-02-14,7.48,14728317
2019-02-15,7.41,15620191
2019-02-19,7.26,9974748
2019-02-20,7.62,21495721
2019-02-21,7.64,8060138
2019-02-22,8.17,26600350
2019-02-25,9.0,52424249
2019-02-26,9.79,106022591
2019-02-27,9.85,53234270
2019-02-28,9.57,26506014
2019-03-01,10.06,32409414
2019-03-04,9.78,43753280
2019-03-05,10.16,53680765
2019-03-06,8.01,73522653
2019-03-07,7.09,52469571
2019-03-08,7.06,32040585
2019-03-11,6.59,62544507
2019-03-12,6.39,41615989
2019-03-13,6.53,41727215
2019-03-14,6.03,58983387
2019-03-15,5.71,85776969
2019-03-18,5.75,76506119
2019-03-19,5.96,54509153
2019-03-20,5.85,39053693
2019-03-21,5.84,21368941
2019-03-22,5.62,24956464
2019-03-25,5.35,38993269
2019-03-26,4.96,67206268
2019-03-27,4.98,39753377
2019-03-28,5.01,29458068
2019-03-29,5.1,23595909
2019-04-01,5.21,32404597
2019-04-02,5.39,55814771
2019-04-03,5.31,35320203
2019-04-04,5.35,31696613
2019-04-05,5.36,18093412
2019-04-08,5.3,17349772
2019-04-09,5.08,32590061
2019-04-10,5.05,25958722
2019-04-11,5.01,17642573
2019-04-12,4.99,15561263
2019-04-15,4.75,27489142
2019-04-16,4.45,46354509
2019-04-17,4.59,30546383
2019-04-18,4.79,31206503
2019-04-22,4.78,12936684
2019-04-23,4.83,15106971
2019-04-24,5.0,20401275
2019-04-25,4.9,21552804
2019-04-26,4.92,11891337
2019-04-29,4.98,15202827
2019-04-30,4.85,14434585
2019-05-01,4.68,13308347
2019-05-02,4.72,14080431
2019-05-03,5.02,25245547
2019-05-06,4.88,16144442
2019-05-07,4.84,11545700
2019-05-08,4.57,20456913
2019-05-09,4.6,15759712
2019-05-10,4.56,17146542
