date,close,volume
2018-09-20,36.0,40182749
2018-09-21,34.1,9269454
2018-09-24,34.9,2769119
2018-09-25,34.58,3152188
2018-09-26,35.5,5835634
2018-09-27,36.19,2949670
2018-09-28,34.89,1321539
2018-10-01,33.73,4374385
2018-10-02,33.42,2128171
2018-10-03,34.25,1116557
2018-10-04,34.02,1226713
2018-10-05,34.34,1488787
2018-10-08,34.01,963236
2018-10-09,34.32,1131637
2018-10-10,33.53,1610454
2018-10-11,32.39,1504195
2018-10-12,32.58,1324881
2018-10-15,32.46,2530077
2018-10-16,32.61,892481
2018-10-17,32.93,721330
2018-10-18,31.8,1102878
2018-10-19,31.61,890137
2018-10-22,31.88,747138
2018-10-23,32.44,1717995
2018-10-24,31.74,1596603
2018-10-25,31.96,927449
2018-10-26,32.43,861080
2018-10-29,30.91,1611992
2018-10-30,30.85,1496889
2018-10-31,30.48,1229093
2018-11-01,31.88,2148138
2018-11-02,33.1,1714748
2018-11-05,33.24,1651307
2018-11-06,33.81,2084365
2018-11-07,34.46,976211
2018-11-08,33.82,653335
2018-11-09,34.46,751220
2018-11-12,34.16,1012741
2018-11-13,34.5,614978
2018-11-14,34.01,362885
2018-11-15,33.09,988271
2018-11-16,34.0,409829
2018-11-19,33.8,516004
2018-11-20,33.13,594379
2018-11-21,33.16,413274
2018-11-23,33.61,183593
2018-11-26,33.0,771252
2018-11-27,32.95,395670
2018-11-28,33.48,994461
2018-11-29,33.48,1962076
2018-11-30,33.41,1325918
2018-12-03,33.75,1226553
2018-12-04,33.07,648195
2018-12-06,32.6,839741
2018-12-07,33.57,1087228
2018-12-10,33.38,982896
2018-12-11,32.96,405885
2018-12-12,32.87,915648
2018-12-13,32.54,479544
2018-12-14,32.37,607407
2018-12-17,31.76,2133046
2018-12-18,31.1,1698611
2018-12-19,31.64,1979188
2018-12-20,31.33,2465505
2018-12-21,30.0,7853876
2018-12-24,29.63,468885
2018-12-26,30.73,1398459
2018-12-27,31.19,756947
2018-12-28,31.32,1804967
2018-12-31,31.53,611949
2019-01-02,31.8,760980
2019-01-03,31.09,1041008
2019-01-04,31.83,649814
2019-01-07,32.65,738812
2019-01-08,32.51,865852
2019-01-09,32.55,1614177
2019-01-10,31.59,1378785
2019-01-11,31.96,1506114
2019-01-14,31.56,2540521
2019-01-15,31.71,2067649
2019-01-16,31.56,1645729
2019-01-17,31.75,511894
2019-01-18,31.52,2547423
2019-01-22,30.98,2107911
2019-01-23,30.38,3008965
2019-01-24,30.23,1774480
2019-01-25,30.6,1439649
2019-01-28,30.5,1267669
2019-01-29,30.5,1858216
2019-01-30,30.16,2236278
2019-01-31,29.18,3093560
2019-02-01,29.45,4237071
2019-02-04,29.65,1906815
2019-02-05,30.22,2183791
2019-02-06,29.01,6545691
2019-02-07,29.5,4958567
2019-02-08,29.69,9957057
2019-02-11,29.71,9173453
2019-02-12,29.3,9604141
2019-02-13,29.42,7078483
2019-02-14,29.34,8316925
2019-02-15,29.6,7325509
2019-02-19,29.16,6942335
2019-02-20,29.33,12650634
2019-02-21,29.04,10923087
2019-02-22,29.19,9724803
2019-02-25,29.0,10242175
2019-02-26,29.05,13069175
2019-02-27,29.72,14707444
2019-02-28,30.24,20033543
2019-03-01,31.03,23160116
2019-03-04,31.0,30316899
2019-03-05,30.46,22779206
2019-03-06,29.7,26709069
2019-03-07,29.28,17538537
2019-03-08,29.4,14068451
2019-03-11,30.7,62959419
2019-03-12,31.64,21203798
2019-03-13,31.58,18803957
2019-03-14,30.31,29569940
2019-03-15,30.64,30687228
2019-03-18,31.64,26440342
2019-03-19,32.83,16426228
2019-03-20,32.83,8119546
2019-03-21,32.48,10187388
2019-03-22,32.72,21385015
2019-03-25,32.6,5050838
2019-03-26,32.74,4001218
2019-03-27,32.69,5445733
2019-03-28,32.5,2223654
2019-03-29,32.07,4066004
2019-04-01,32.17,4624393
2019-04-02,32.44,4867028
2019-04-03,32.83,7161373
2019-04-04,32.98,2864339
2019-04-05,33.12,3703977
2019-04-08,33.42,2068050
2019-04-09,32.76,2995230
2019-04-10,32.55,3306225
2019-04-11,32.34,3255365
2019-04-12,32.57,3751005
2019-04-15,32.14,2943423
2019-04-16,31.78,2453194
2019-04-17,31.18,4064316
2019-04-18,31.11,6101836
2019-04-22,31.15,4760509
2019-04-23,31.63,3652661
2019-04-24,32.07,3288392
2019-04-25,32.39,2610841
2019-04-26,32.72,5052664
2019-04-29,32.28,3952357
2019-04-30,31.5,5158835
2019-05-01,31.44,2200405
2019-05-02,31.36,4774658
2019-05-03,32.13,3542814
2019-05-06,32.17,1494258
2019-05-07,31.12,4073171
2019-05-08,31.39,4245071
2019-05-09,32.96,6249927
2019-05-10,33.3,3686535
2019-05-13,32.15,2522148
2019-05-14,32.6,2952637
2019-05-15,32.75,1979866
2019-05-16,33.0,3057512
2019-05-17,33.04,2287918
2019-05-20,32.65,1054911
2019-05-21,32.74,2847833
2019-05-22,32.29,3517413
2019-05-23,32.39,2358563
2019-05-24,32.1,3704096
2019-05-28,31.97,4649440
2019-05-29,31.74,5402722
2019-05-30,31.51,1337192
2019-05-31,31.28,2096933
2019-06-03,31.93,1729403
2019-06-04,32.73,2090339
2019-06-05,32.9,2162071
2019-06-06,32.5,3602687
2019-06-07,32.69,1626862
2019-06-10,32.45,1915044
2019-06-11,32.57,1582864
2019-06-12,33.18,1173193
2019-06-13,32.55,1724772
2019-06-14,31.95,3199823
2019-06-17,31.49,3279746
2019-06-18,32.78,2494608
2019-06-19,33.12,2005924
2019-06-20,32.93,3078677
2019-06-21,33.73,4703161
2019-06-24,33.53,1601830
2019-06-25,34.79,6721091
2019-06-26,34.29,2972195
2019-06-27,34.26,2543946
2019-06-28,33.8,6069038
2019-07-01,34.96,2446817
2019-07-02,33.99,2245417
2019-07-03,34.75,1800238
2019-07-05,34.19,1056389
2019-07-08,33.36,4185016
2019-07-09,34.07,10117600
2019-07-10,33.16,2752441
2019-07-11,33.86,1581989
2019-07-12,33.31,1847797
2019-07-15,33.68,2373616
2019-07-16,33.35,1664028
2019-07-17,33.18,2615136
2019-07-18,32.84,1442114
2019-07-19,32.5,2475262
2019-07-22,32.19,1442848
2019-07-23,33.01,2260961
2019-07-24,33.4,1501452
2019-07-25,32.91,2893457
2019-07-26,33.16,1412085
2019-07-29,33.01,2839334
2019-07-30,33.35,1327676
2019-07-31,32.96,1774426
2019-08-01,33.06,2021631
2019-08-02,32.89,1145614
2019-08-05,31.81,1395828
2019-08-06,32.84,1815772
2019-08-07,31.47,6355883
2019-08-08,31.33,5602490
2019-08-09,30.65,4429564
2019-08-12,29.68,3066833
2019-08-13,29.85,6805737
2019-08-14,28.51,4904207
2019-08-15,29.19,3972422
2019-08-16,29.36,3469755
2019-08-19,29.81,1422896
2019-08-20,27.26,16782777
2019-08-21,26.39,10385392
2019-08-22,27.05,4225414
2019-08-23,26.41,5059304
2019-08-26,25.88,5629817
2019-08-27,25.62,8977773
2019-08-28,25.78,2488627
2019-08-29,25.93,3808780
2019-08-30,26.02,2138211
2019-09-03,26.04,4812469
2019-09-04,26.36,4234373
2019-09-05,26.49,2570735
2019-09-06,27.35,6931614
2019-09-09,26.99,6200433
2019-09-10,27.91,3260502
2019-09-11,28.74,4615142
2019-09-12,28.38,2862170
2019-09-13,28.68,5540958
2019-09-16,28.32,3310371
2019-09-17,28.08,1727895
2019-09-18,27.48,4260885
2019-09-19,27.13,3285767
2019-09-20,27.53,13025073
2019-09-23,28.07,6495509
2019-09-24,27.55,5114501
2019-09-25,26.98,10831980
2019-09-26,26.7,3065324
2019-09-27,26.4,1782335
2019-09-30,26.59,1874251
2019-10-01,26.17,3987827
2019-10-02,25.95,2890052
2019-10-03,26.85,3784387
2019-10-04,26.78,5876863
2019-10-07,26.64,2469439
2019-10-08,26.68,2678333
2019-10-09,26.82,1864727
2019-10-10,26.55,2001842
2019-10-11,26.89,2024845
2019-10-14,26.64,1265644
2019-10-15,27.11,2029328
2019-10-16,27.07,1915212
2019-10-17,26.47,4305347
2019-10-18,26.23,2419204
2019-10-21,26.36,3001535
2019-10-22,26.04,2807535
2019-10-23,26.17,1951663
2019-10-24,26.3,1878213
2019-10-25,26.87,2667883
2019-10-28,27.15,1429872
2019-10-29,27.18,1568321
2019-10-30,27.13,1246220
2019-10-31,27.02,2274540
2019-11-01,27.4,2189887
2019-11-04,27.28,2277896
2019-11-05,27.43,2792890
2019-11-06,26.68,5640176
2019-11-07,26.92,4823547
2019-11-08,27.23,3690782
2019-11-11,26.57,3654399
2019-11-12,26.21,7950702
2019-11-13,26.0,11743556
2019-11-14,25.29,6155768
2019-11-15,26.11,5419682
2019-11-18,25.54,4302891
2019-11-19,26.27,7051805
2019-11-20,26.35,4572140
2019-11-21,26.4,5670961
2019-11-22,26.79,2944897
2019-11-25,27.81,5507304
2019-11-26,27.66,3085374
2019-11-27,27.87,2067596
2019-11-29,27.71,1401253
2019-12-02,27.62,2864141
2019-12-03,27.3,1551412
2019-12-04,27.17,1509530
2019-12-05,27.16,1838673
2019-12-06,27.09,1816428
2019-12-09,26.85,3333800
2019-12-10,26.46,4661234
2019-12-11,26.79,2431331
2019-12-12,27.48,1887477
2019-12-13,27.78,3248236
2019-12-16,28.31,5532705
2019-12-17,28.76,3609716
2019-12-18,28.19,7467281
2019-12-19,28.95,6296360
2019-12-20,28.8,5499483
2019-12-23,29.07,2107187
2019-12-24,29.43,839715
2019-12-26,29.16,1490173
2019-12-27,29.34,1614513
2019-12-30,29.29,1232103
2019-12-31,29.45,1210307
2020-01-02,29.47,1664740
2020-01-03,29.1,4342289
2020-01-06,28.83,5715970
2020-01-07,28.71,3224556
